0.000216848;2;105;495;1;0.516304296;1.68E-05
0.000219733;2;110;495;1;0.231428567;1.97E-05
0.000223121;2;120;495;1;0.141758269;2.31E-05
0.000224654;2;130;495;1;0.06538461;2.47E-05
0.000225962;2;140;495;1;0.065384624;2.60E-05
0.00022675;2;150;495;1;0.024999994;2.68E-05
0.000117167;2;105;495;2;0.733333318;1.72E-05
0.000119489;2;110;495;2;0.428176746;1.95E-05
0.0001223;2;120;495;2;0.191428564;2.23E-05
0.000124214;2;130;495;2;0.19142857;2.42E-05
0.00012582;2;140;495;2;0.091999992;2.58E-05
0.00012674;2;150;495;2;0.091999992;2.67E-05
8.00E-05;2;120;495;4;0.404287507;3.00E-05
0.0001223;2;120;495;2;0.191428564;2.23E-05
9.05E-05;2;120;495;3;0.287671177;2.39E-05
0.000216877;3;105;495;1;0.505370529;0.000016877
0.000220341;3;110;495;1;0.276138333;0.000020341
0.000216896;4;105;495;1;0.505806984;1.69E-05
0.000220614;4;110;495;1;0.30627999;2.06E-05
